station_cd1,station_cd2
1110101,1110102
1110102,1110103
1110103,1110104
1110104,1110105
1110105,1110106
1110105,1110108
1110106,1110107
1110107,1110108
1110108,1110109
1110108,1110114
1110109,1110110
1110110,1110111
1110111,1110123
1110114,1110115
1110115,1110116
1110116,1110117
1110117,1110118
1110118,1110119
1110119,1110120
1110120,1110121
1110121,1110122
1110122,1110123
1110123,1110125
1110125,1110126
1110126,1110127
1110127,1110128
1110128,1110129
1110129,1110130
1110130,1110131
1110131,1110133
1110133,1110134
1110134,1110136
1110136,1110137
1110137,1110138
1110201,1110202
1110202,1110204
1110204,1110205
1110205,1110206
1110206,1110207
1110207,1110208
1110208,1110209
1110209,1110210
1110210,1110211
1110211,1110212
1110212,1110213
1110213,1110214
1110214,1110215
1110215,1110216
1110216,1110217
1110217,1110218
1110218,1110219
1110301,1110302
1110302,1110303
1110303,1110304
1110304,1110305
1110305,1110306
1110306,1110307
1110307,1110308
1110308,1110309
1110309,1110310
1110310,1110311
1110311,1110312
1110312,1110313
1110313,1110314
1110314,1110315
1110315,1110316
1110316,1110317
1110317,1110318
1110318,1110319
1110319,1110320
1110320,1110321
1110321,1110322
1110322,1110323
1110323,1110324
1110324,1110325
1110325,1110326
1110326,1110327
1110327,1110328
1110328,1110329
1110329,1110330
1110330,1110331
1110331,1110332
1110332,1110333
1110333,1110334
1110334,1110335
1110335,1110336
1110336,1110337
1110337,1110338
1110338,1110339
1110339,1110340
1110340,1110341
1110341,1110342
1110401,1110402
1110402,1110403
1110403,1110404
1110404,1110405
1110405,1110406
1110406,1110407
1110407,1110408
1110408,1110409
1110409,1110410
1110410,1110411
1110411,1110412
1110412,1110413
1110413,1110414
1110414,1110415
1110415,1110420
1110416,1110417
1110417,1110418
1110418,1110419
1110419,1110420
1110420,1110421
1110421,1110422
1110422,1110423
1110423,1110424
1110424,1110425
1110425,1110426
1110426,1110427
1110427,1110428
1110428,1110429
1110429,1110430
1110430,1110431
1110431,1110432
1110432,1110433
1110433,1110434
1110501,1110502
1110502,1110503
1110503,1110504
1110504,1110505
1110505,1110506
1110506,1110507
1110507,1110508
1110508,1110509
1110509,1110510
1110510,1110511
1110511,1110512
1110512,1110513
1110513,1110514
1110601,1110602
1110602,1110603
1110603,1110604
1110604,1110605
1110605,1110606
1110606,1110607
1110607,1110608
1110608,1110610
1110610,1110611
1110611,1110612
1110612,1110613
1110613,1110614
1110614,1110615
1110615,1110616
1110616,1110617
1110617,1110618
1110701,1110702
1110702,1110704
1110704,1110705
1110705,1110706
1110706,1110707
1110707,1110708
1110708,1110709
1110709,1110710
1110710,1110712
1110712,1110713
1110713,1110714
1110714,1110715
1110715,1110716
1110716,1110717
1110717,1110718
1110718,1110720
1110720,1110723
1110723,1110725
1110725,1110726
1110726,1110727
1110727,1110728
1110728,1110729
1110729,1110730
1110730,1110731
1110801,1110802
1110802,1110803
1110803,1110804
1110804,1110805
1110805,1110806
1110806,1110807
1110807,1110808
1110808,1110809
1110809,1110810
1110810,1110811
1110811,1110812
1110812,1110813
1110813,1110815
1110815,1110816
1110816,1110817
1110817,1110818
1110818,1110820
1110820,1110821
1110901,1110902
1110902,1110903
1110903,1110906
1110905,1110906
1110906,1110907
1110907,1110908
1110908,1110909
