station_cd,station_name,lon,lat
1110101,函館,140.726413,41.773709
1110102,五稜郭,140.733539,41.803557
1110103,桔梗,140.722952,41.846457
1110104,大中山,140.71358,41.864641
1110105,七飯,140.688556,41.886971
1110106,新函館北斗,140.646525,41.9054
1110107,仁山,140.635183,41.930011
1110108,大沼,140.669347,41.971954
1110109,大沼公園,140.669758,41.980958
1110110,赤井川,140.642678,42.003267
1110111,駒ケ岳,140.610476,42.038809
1110114,池田園,140.700333,41.990692
1110115,流山温泉,140.716358,42.003483
1110116,銚子口,140.720656,42.015471
1110117,鹿部,140.771393,42.06439
1110118,渡島沼尻,140.747596,42.10706
1110119,渡島砂原,140.689451,42.12164
1110120,掛澗,140.64598,42.119205
1110121,尾白内,140.613449,42.111232
1110122,東森,140.59353,42.106823
1110123,森,140.573846,42.108917
1110125,石谷,140.506525,42.135519
1110126,本石倉,140.471957,42.159668
1110127,石倉,140.458436,42.17285
1110128,落部,140.420755,42.187617
1110129,野田生,140.37586,42.217104
1110130,山越,140.326593,42.231172
1110131,八雲,140.273342,42.253391
1110133,山崎,140.2746,42.314635
1110134,黒岩,140.288173,42.368296
1110136,国縫,140.320885,42.439319
1110137,中ノ沢,140.346077,42.477928
1110138,長万部,140.37507,42.512477
1110201,長万部,140.37507,42.512477
1110202,二股,140.320821,42.575869
1110204,黒松内,140.305704,42.669608
1110205,熱郛,140.375084,42.675653
1110206,目名,140.465742,42.761432
1110207,蘭越,140.52894,42.804542
1110208,昆布,140.596107,42.797984
1110209,ニセコ,140.684588,42.808746
1110210,比羅夫,140.722615,42.84856
1110211,倶知安,140.745471,42.90164
1110212,小沢,140.677657,42.97185
1110213,銀山,140.715321,43.040888
1110214,然別,140.737211,43.12551
1110215,仁木,140.770546,43.154091
1110216,余市,140.794686,43.186558
1110217,蘭島,140.854643,43.19651
1110218,塩谷,140.924546,43.202406
1110219,小樽,140.993653,43.197172
1110301,小樽,140.993653,43.197172
1110302,南小樽,141.007883,43.186529
1110303,小樽築港,141.029051,43.180752
1110304,朝里,141.063923,43.176868
1110305,銭函,141.159868,43.143403
1110306,ほしみ,141.191402,43.13373
1110307,星置,141.210856,43.132375
1110308,稲穂,141.222919,43.128115
1110309,手稲,141.243785,43.120238
1110310,稲積公園,141.257113,43.112023
1110311,発寒,141.277273,43.099819
1110312,発寒中央,141.294497,43.089271
1110313,琴似,141.307418,43.081599
1110314,桑園,141.332036,43.070744
1110315,札幌,141.350768,43.068612
1110316,苗穂,141.377522,43.068574
1110317,白石,141.413612,43.054715
1110318,厚別,141.46369,43.045154
1110319,森林公園,141.481332,43.056456
1110320,大麻,141.496925,43.072382
1110321,野幌,141.52984,43.092559
1110322,高砂,141.540752,43.100084
1110323,江別,141.55679,43.110189
1110324,豊幌,141.62466,43.136446
1110325,幌向,141.655839,43.151348
1110326,上幌向,141.715391,43.18183
1110327,岩見沢,141.759359,43.204201
1110328,峰延,141.814673,43.264694
1110329,光珠内,141.844655,43.292658
1110330,美唄,141.862157,43.330751
1110331,茶志内,141.87336,43.369842
1110332,奈井江,141.889115,43.423718
1110333,豊沼,141.901032,43.464224
1110334,砂川,141.909642,43.493468
1110335,滝川,141.900807,43.555278
1110336,江部乙,141.935937,43.627564
1110337,妹背牛,141.966591,43.690841
1110338,深川,142.041642,43.721021
1110339,納内,142.130072,43.732509
1110340,伊納,142.27167,43.763305
1110341,近文,142.325327,43.789193
1110342,旭川,142.357803,43.763492
1110401,長万部,140.37507,42.512477
1110402,静狩,140.460025,42.584065
1110403,小幌,140.537361,42.589731
1110404,礼文,140.595013,42.580422
1110405,大岸,140.639036,42.585969
1110406,豊浦,140.71536,42.580323
1110407,洞爺,140.763959,42.55055
1110408,有珠,140.793969,42.513267
1110409,長和,140.833783,42.488262
1110410,伊達紋別,140.855802,42.469395
1110411,北舟岡,140.880259,42.450528
1110412,稀府,140.898836,42.425567
1110413,黄金,140.907781,42.386441
1110414,崎守,140.927141,42.373968
1110415,本輪西,140.977561,42.358734
1110416,室蘭,140.97571,42.317864
1110417,母恋,140.990018,42.317295
1110418,御崎,140.993881,42.329014
1110419,輪西,141.005743,42.333775
1110420,東室蘭,141.026411,42.349374
1110421,鷲別,141.042759,42.35953
1110422,幌別,141.107293,42.409782
1110423,富浦,141.156878,42.441957
1110424,登別,141.180931,42.45207
1110425,虎杖浜,141.215092,42.464695
1110426,竹浦,141.260395,42.49284
1110427,北吉原,141.286199,42.509119
1110428,萩野,141.30603,42.521159
1110429,白老,141.360054,42.55474
1110430,社台,141.417433,42.578682
1110431,錦岡,141.48722,42.6025
1110432,糸井,141.546187,42.6225
1110433,青葉,141.568278,42.62999
1110434,苫小牧,141.596837,42.639665
1110501,苫小牧,141.596837,42.639665
1110502,沼ノ端,141.693132,42.672057
1110503,遠浅,141.769568,42.729533
1110504,早来,141.814106,42.765237
1110505,安平,141.825283,42.814007
1110506,追分,141.810678,42.873316
1110507,三川,141.800778,42.945029
1110508,古山,141.793969,42.975256
1110509,由仁,141.785868,43.012206
1110510,栗山,141.775603,43.058164
1110511,栗丘,141.744333,43.085444
1110512,栗沢,141.739743,43.120367
1110513,志文,141.744443,43.158903
1110514,岩見沢,141.759359,43.204201
1110601,滝川,141.900807,43.555278
1110602,東滝川,141.98031,43.574037
1110603,赤平,142.048669,43.555144
1110604,茂尻,142.082156,43.537314
1110605,平岸,142.123872,43.541401
1110606,芦別,142.184543,43.516636
1110607,上芦別,142.210855,43.48871
1110608,野花南,142.261772,43.474418
1110610,富良野,142.391374,43.347114
1110611,布部,142.400595,43.291991
1110612,山部,142.381522,43.244645
1110613,下金山,142.415402,43.197328
1110614,金山,142.416201,43.136115
1110615,東鹿越,142.523472,43.164011
1110616,幾寅,142.569474,43.161582
1110617,落合,142.669104,43.125055
1110618,新得,142.832432,43.082501
1110701,新得,142.832432,43.082501
1110702,十勝清水,142.879535,43.012892
1110704,御影,142.935739,42.942418
1110705,芽室,143.047991,42.909846
1110706,大成,143.0696659,42.91605619
1110707,西帯広,143.126351,42.923941
1110708,柏林台,143.1645,42.928877
1110709,帯広,143.20195,42.917997
1110710,札内,143.256248,42.912697
1110712,幕別,143.359293,42.90784
1110713,利別,143.424445,42.934706
1110714,池田,143.453033,42.922186
1110715,十弗,143.500797,42.855781
1110716,豊頃,143.538615,42.817548
1110717,新吉野,143.60826,42.778238
1110718,浦幌,143.651568,42.810849
1110720,厚内,143.814389,42.809539
1110723,音別,143.932442,42.888997
1110725,白糠,144.076879,42.956161
1110726,西庶路,144.129826,42.976138
1110727,庶路,144.150018,42.983601
1110728,大楽毛,144.273879,43.009078
1110729,新大楽毛,144.295558,43.009423
1110730,新富士,144.350758,43.001605
1110731,釧路,144.381983,42.990584
1110801,釧路,144.381983,42.990584
1110802,東釧路,144.411307,42.995207
1110803,武佐,144.426681,42.991364
1110804,別保,144.469596,42.994384
1110805,上尾幌,144.61239,43.032893
1110806,尾幌,144.703758,43.018463
1110807,門静,144.782638,43.057581
1110808,厚岸,144.841355,43.056248
1110809,糸魚沢,144.92545,43.103506
1110810,茶内,145.02801,43.129266
1110811,浜中,145.099657,43.15754
1110812,姉別,145.194716,43.196201
1110813,厚床,145.252096,43.228224
1110815,別当賀,145.423593,43.218427
1110816,落石,145.519449,43.198335
1110817,昆布盛,145.542444,43.228593
1110818,西和田,145.541817,43.268043
1110820,東根室,145.597234,43.323655
1110821,根室,145.582707,43.326923
1110901,苫小牧,141.596837,42.639665
1110902,沼ノ端,141.693132,42.672057
1110903,植苗,141.735344,42.713645
1110905,新千歳空港,141.680823,42.787546
1110906,南千歳,141.675388,42.80804
1110907,千歳,141.651934,42.82811
1110908,長都,141.622987,42.852178
1110909,サッポロビール庭園,141.605616,42.866812
1110910,恵庭,141.586234,42.883076
1110911,恵み野,141.574429,42.902704
1110912,島松,141.573117,42.922504
1110913,北広島,141.563115,42.979239
1110914,上野幌,141.487317,43.016177
1110915,新札幌,141.47237,43.038732
1110916,平和,141.437967,43.04695
1110917,白石,141.413612,43.054715
1110918,苗穂,141.377522,43.068574
1110919,札幌,141.350768,43.068612
1111001,南千歳,141.675388,42.80804
1111002,追分,141.810678,42.873316
1111004,川端,141.894791,42.914721
1111005,滝ノ上,141.97628,42.910244
1111007,新夕張,142.03657,42.936611
1111008,沼ノ沢,142.030836,42.957586
1111009,南清水沢,142.006597,42.985272
1111010,清水沢,142.007285,42.99827
1111011,鹿ノ谷,141.964476,43.039447
1111012,夕張,141.967472,43.050926
1111013,占冠,142.400078,42.993088
1111014,トマム,142.610937,43.055913
1111015,新得,142.832432,43.082501
1111101,苫小牧,141.596837,42.639665
1111102,勇払,141.727667,42.632805
1111103,浜厚真,141.837071,42.606725
1111104,浜田浦,141.88362,42.590722
1111105,鵡川,141.923892,42.578953
1111106,汐見,141.945255,42.550235
1111107,富川,142.020855,42.516865
1111108,日高門別,142.072692,42.481237
1111109,豊郷,142.122493,42.470119
1111110,清畠,142.176624,42.455709
1111111,厚賀,142.215896,42.430507
1111112,大狩部,142.259355,42.395695
1111113,節婦,142.275541,42.38248
1111114,新冠,142.312585,42.360667
1111115,静内,142.360402,42.336559
1111117,東静内,142.450485,42.304416
1111118,春立,142.498943,42.268515
1111119,日高東別,142.521371,42.280837
1111120,日高三石,142.566859,42.247269
1111121,蓬栄,142.604517,42.264636
1111122,本桐,142.630455,42.248205
1111123,荻伏,142.689432,42.206136
1111124,絵笛,142.736134,42.198428
1111125,浦河,142.769976,42.168366
1111126,東町,142.788931,42.156037
1111127,日高幌別,142.834519,42.142338
1111128,鵜苫,142.882513,42.134449
1111129,西様似,142.908737,42.138411
1111130,様似,142.93596,42.127936
1111201,札幌,141.350768,43.068612
1111202,桑園,141.332036,43.070744
1111203,八軒,141.319145,43.085845
1111204,新川,141.323824,43.098604
1111205,新琴似,141.335105,43.112928
1111206,太平,141.349526,43.12401
1111207,百合が原,141.360672,43.131476
1111208,篠路,141.364323,43.145152
1111209,拓北,141.381013,43.155568
1111210,あいの里教育大,141.39842,43.15528
1111211,あいの里公園,141.413276,43.161206
1111212,石狩太美,141.449066,43.189801
1111213,石狩当別,141.513764,43.22208
1111214,北海道医療大学,141.54995,43.230925
1111215,石狩金沢,141.569239,43.245385
1111216,本中小屋,141.591661,43.28019
1111217,中小屋,141.602341,43.306846
1111218,月ケ岡,141.61807,43.324867
1111219,知来乙,141.649123,43.331545
1111220,石狩月形,141.670193,43.340869
1111221,豊ケ岡,141.714026,43.366645
1111222,札比内,141.742762,43.370926
1111223,晩生内,141.779211,43.399921
1111224,札的,141.803549,43.419153
1111225,浦臼,141.817376,43.430964
1111226,鶴沼,141.840637,43.457673
1111227,於札内,141.840102,43.473424
1111228,南下徳富,141.844454,43.485542
1111229,下徳富,141.855574,43.50271
1111230,新十津川,141.874172,43.545575
1111301,深川,142.041642,43.721021
1111302,北一已,142.014721,43.742021
1111303,秩父別,141.967757,43.769099
1111304,北秩父別,141.960915,43.789375
1111305,石狩沼田,141.934266,43.810032
1111306,真布,141.906756,43.832965
1111307,恵比島,141.88144,43.851296
1111308,峠下,141.818879,43.850789
1111309,幌糠,141.758418,43.855521
1111310,藤山,141.720588,43.88708
1111311,大和田,141.696528,43.913418
1111312,留萌,141.651433,43.942848
1111313,瀬越,141.634535,43.934987
1111314,浜中海水浴場,141.632835,43.930354
1111315,礼受,141.611358,43.904871
1111316,阿分,141.605598,43.894339
1111317,信砂,141.589039,43.874479
1111318,舎熊,141.580068,43.869113
1111319,朱文別,141.564328,43.860678
1111320,箸別,141.55164,43.859125
1111321,増毛,141.527559,43.856522
1111401,旭川,142.357803,43.763492
1111402,神楽岡,142.358257,43.745033
1111403,緑が丘,142.365701,43.731074
1111404,西御料,142.371507,43.720834
1111405,西瑞穂,142.381982,43.70242
1111406,西神楽,142.393677,43.682181
1111407,西聖和,142.415209,43.669047
